product_id,product_name,category,base_price
868,Re-engineered clear-thinking application,Clothing,332.84
638,Optimized mission-critical moratorium,Home & Garden,262.57
133,Profit-focused grid-enabled infrastructure,Toys,174.24
981,Synergized zero-defect conglomeration,Clothing,339.67
568,Decentralized tangible model,Clothing,405.22
571,Intuitive system-worthy access,Clothing,21.97
112,Synergistic demand-driven implementation,Clothing,492.13
694,Cross-platform fresh-thinking hierarchy,Toys,426.37
727,Fundamental contextually-based neural-net,Electronics,233.15
369,Front-line encompassing leverage,Toys,105.27
451,Multi-lateral contextually-based methodology,Sports,252.24
534,Expanded intangible standardization,Clothing,82.31
870,Multi-layered high-level initiative,Electronics,447.4
386,Organized contextually-based orchestration,Electronics,391.43
234,Re-engineered systemic emulation,Clothing,-96.18
933,Cross-platform uniform flexibility,Toys,237.63
923,Front-line next generation Internet solution,Toys,132.11
976,Multi-tiered dedicated circuit,Electronics,233.67
919,User-centric coherent leverage,Sports,337.11
925,Advanced context-sensitive instruction set,Toys,301.77
611,Devolved responsive model,Sports,310.2
646,Up-sized foreground toolset,Toys,219.1
598,Innovative eco-centric open architecture,Toys,228.5
979,Re-contextualized actuating infrastructure,Clothing,374.39
201,Team-oriented cohesive approach,Sports,230.53
320,Function-based methodical product,Clothing,421.53
198,Organized value-added groupware,Home & Garden,-385.25
366,Multi-lateral high-level open architecture,Toys,247.45
670,Function-based grid-enabled adapter,Clothing,144.55
521,Decentralized grid-enabled service-desk,Electronics,359.64
720,Exclusive object-oriented orchestration,,143.14
765,Streamlined national conglomeration,Home & Garden,447.58
899,Horizontal heuristic Graphic Interface,Electronics,77.8
789,Profound mobile time-frame,Clothing,197.69
854,Organized attitude-oriented implementation,Clothing,356.15
728,Horizontal maximized product,Electronics,213.29
248,Down-sized scalable workforce,Home & Garden,275.88
445,Operative responsive pricing structure,Sports,40.51
685,Open-architected asynchronous artificial intelligence,,200.84
265,Mandatory discrete functionalities,Toys,473.57
424,Streamlined explicit strategy,Electronics,-429.8
373,Robust secondary infrastructure,Toys,196.39
377,Organic zero-defect hierarchy,Electronics,471.94
865,Reverse-engineered multi-state knowledge user,Home & Garden,379.2
523,Down-sized contextually-based adapter,Sports,273.73
228,Upgradable disintermediate protocol,Toys,401.94
357,User-friendly tangible synergy,Clothing,249.23
181,Expanded composite infrastructure,Home & Garden,223.56
205,Cross-platform asymmetric leverage,Electronics,200.54
661,Business-focused 4thgeneration throughput,Sports,364.85
